,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,gender_Male,Race_Amer. Indian/Alaska Native,"Race_Asian, Hawaii/Pac. Islander",Race_Black or African American,Race_Hispanic,Race_More than one race,Race_White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld
14827,1.0,5.0,3.0,7.0,12,2.0,0.0,4.0,0.0,1.0,4.0,63.52,6.0,1.421,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,9.0,6.0,2.75,1.0,46.82,2.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
14892,1.0,1.0,3.0,6.0,11,2.0,3.0,3.0,0.0,1.0,4.0,71.46,6.0,1.607,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,26.0,6.0,2.0,1.0,70.08,2.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
14893,1.0,1.0,3.0,7.0,10,2.0,0.0,3.0,0.0,1.0,4.0,65.51,6.0,0.069,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,31.0,6.0,3.25,1.0,68.63,1.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
14895,0.0,2.0,2.0,2.0,8,1.0,4.0,3.0,1.0,0.0,3.0,44.95,6.0,1.421,2,5.0,0.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,0.5,0.0,48.71,1.0,1.75,1,0,0,0,0,1,0,0,0,0,1,0
14900,0.0,2.0,2.0,3.0,8,1.0,4.0,3.0,1.0,1.0,4.0,44.8,6.0,1.421,2,5.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0,13.0,4.0,1.0,0.0,48.44,2.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0
14901,1.0,1.0,1.0,7.0,9,2.0,2.0,3.0,0.0,1.0,4.0,51.66,6.0,2.094,2,5.0,0.0,5.0,5.0,5.0,5.0,5.0,2.0,26.0,6.0,3.25,0.0,61.31,2.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
14902,1.0,1.0,3.0,6.0,10,0.0,2.0,3.0,0.0,1.0,3.0,48.36,6.0,1.066,2,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,6.0,3.5,1.0,51.65,2.0,3.5,0,1,0,0,0,0,1,0,0,0,1,0
14914,1.0,2.0,3.0,6.0,12,2.0,0.0,3.0,0.0,0.0,4.0,60.36,6.0,2.094,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,37.0,5.0,3.75,1.0,61.09,2.0,3.5,1,0,0,0,1,0,0,0,0,0,1,0
14920,1.0,1.0,3.0,8.0,13,2.0,5.0,4.0,0.0,0.0,4.0,65.74,6.0,1.097,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,2.0,30.0,6.0,3.25,1.0,63.65,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
14921,1.0,2.0,3.0,8.0,12,2.0,3.0,3.0,0.0,1.0,3.0,68.48,6.0,2.094,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.5,1.0,65.82,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
14924,1.0,5.0,3.0,6.0,9,2.0,3.0,3.0,1.0,1.0,4.0,66.8,6.0,2.094,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,32.0,6.0,3.25,1.0,56.66,2.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
14925,1.0,6.0,3.0,8.0,9,1.0,3.0,4.0,0.0,0.0,4.0,67.6,6.0,0.324,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,32.0,5.0,3.75,1.0,60.2,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
14931,1.0,1.0,3.0,3.0,11,2.0,2.0,4.0,0.0,0.0,5.0,65.18,6.0,2.349,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,3.0,27.0,5.0,2.5,0.0,59.9,2.0,2.75,1,0,0,0,0,0,1,0,0,0,1,0
14933,1.0,1.0,3.0,6.0,13,1.0,3.0,4.0,0.0,0.0,4.0,61.94,6.0,0.68,1,4.0,0.0,96.0,0.0,0.0,0.0,0.0,4.0,25.0,4.0,1.5,1.0,50.72,1.0,2.25,1,0,0,0,0,1,0,0,0,0,1,0
14974,1.0,5.0,3.0,6.0,9,2.0,4.0,2.0,0.0,1.0,2.0,45.02,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,31.0,5.0,2.25,1.0,51.65,2.0,2.5,1,0,0,0,1,0,0,0,0,0,1,0
14979,1.0,1.0,1.0,7.0,10,0.0,0.0,3.0,1.0,1.0,2.0,55.83,6.0,1.607,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,32.0,5.0,2.75,0.0,62.74,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
14982,1.0,1.0,3.0,2.0,10,2.0,0.0,4.0,0.0,1.0,3.0,68.23,6.0,1.607,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,29.0,6.0,3.5,1.0,59.42,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
14984,1.0,1.0,1.0,7.0,10,3.0,2.0,4.0,0.0,1.0,2.0,65.65,6.0,1.352,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,33.0,6.0,3.5,1.0,62.24,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
14994,1.0,1.0,3.0,5.0,9,2.0,3.0,4.0,0.0,1.0,2.0,62.99,6.0,0.68,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,33.0,6.0,3.5,1.0,69.14,2.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
15005,1.0,1.0,3.0,6.0,11,1.0,4.0,4.0,0.0,1.0,4.0,66.19,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.75,1.0,67.41,1.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
15013,1.0,5.0,3.0,6.0,7,1.0,2.0,4.0,1.0,1.0,3.0,57.99,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,32.0,6.0,3.0,0.0,54.89,2.0,3.25,1,0,0,0,0,0,1,0,0,0,1,0
15016,1.0,1.0,3.0,2.0,10,2.0,2.0,3.0,0.0,1.0,3.0,52.09,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,3.0,1.0,55.0,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
15021,1.0,1.0,3.0,7.0,12,2.0,2.0,3.0,1.0,1.0,4.0,58.37,6.0,1.862,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,31.0,6.0,2.75,1.0,63.17,2.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
15023,1.0,1.0,3.0,8.0,13,1.0,0.0,4.0,1.0,1.0,4.0,67.59,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,4.0,0.0,71.44,2.0,2.5,0,1,0,0,0,0,0,1,0,0,1,0
15026,1.0,1.0,3.0,8.0,12,0.0,2.0,3.0,0.0,0.0,4.0,53.84,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,28.0,5.0,3.75,1.0,56.65,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
15032,1.0,2.0,3.0,7.0,10,1.0,2.0,3.0,1.0,1.0,4.0,50.11,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,1.0,54.14,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
15034,1.0,1.0,3.0,6.0,11,2.0,4.0,3.0,1.0,1.0,3.0,51.62,6.0,0.324,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,3.75,1.0,50.34,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
