,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,Asian,Black,Hispanic,More_than_one,White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld,pell_grant
50,1.0,1.0,3.0,6.0,11,0.0,3.0,3.0,1.0,0.0,4.0,53.19,5.0,1.12,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,32.0,5.0,3.5,1.0,51.37,2.0,3.5,1,0,0,0,0,1,0,0,1,0,0
51,1.0,1.0,3.0,6.0,10,0.0,4.0,3.0,0.0,1.0,4.0,53.59,5.0,1.607,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,2.0,43.0,6.0,3.75,1.0,55.41,1.0,3.5,1,0,0,0,0,1,0,0,1,0,1
52,1.0,1.0,3.0,6.0,10,2.0,3.0,1.0,0.0,0.0,4.0,49.26,5.0,0.324,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,19.0,5.0,2.5,1.0,49.58,2.0,2.5,0,1,0,0,0,0,0,0,1,0,0
53,1.0,9.0,3.0,6.0,10,1.0,4.0,2.0,0.0,1.0,4.0,51.82,5.0,2.094,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,2.5,1.0,49.69,1.0,2.5,1,0,0,0,0,1,0,0,1,0,1
54,1.0,1.0,3.0,6.0,12,0.0,5.0,4.0,0.0,0.0,4.0,61.78,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,3.0,2.25,1.0,54.82,1.0,2.25,0,0,0,0,0,1,0,0,1,0,0
55,1.0,1.0,3.0,6.0,12,3.0,3.0,3.0,0.0,1.0,3.0,57.51,5.0,1.676,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,1.75,0.0,65.07,2.0,1.0,1,0,0,0,0,1,0,0,1,0,0
56,1.0,1.0,3.0,6.0,12,3.0,3.0,3.0,0.0,1.0,3.0,58.18,5.0,0.934,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,34.0,5.0,3.0,1.0,62.84,1.0,3.0,1,0,0,0,0,1,0,0,1,0,0
57,1.0,5.0,3.0,4.0,10,2.0,2.0,4.0,0.0,1.0,4.0,61.67,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,28.0,5.0,3.75,1.0,69.31,2.0,3.75,1,0,0,0,0,1,0,0,1,0,0
58,1.0,1.0,3.0,6.0,11,2.0,5.0,3.0,0.0,0.0,4.0,62.15,5.0,0.68,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,22.0,5.0,2.0,1.0,60.62,1.0,2.5,0,0,0,0,0,1,0,0,1,0,0
59,1.0,1.0,3.0,2.0,10,2.0,3.0,4.0,0.0,0.0,3.0,57.53,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,2.5,0.0,57.03,1.0,3.0,0,0,0,0,0,1,0,0,1,0,1
60,1.0,1.0,3.0,7.0,10,0.0,1.0,2.0,0.0,0.0,3.0,56.48,5.0,1.352,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,1.0,35.0,6.0,3.5,1.0,57.97,1.0,3.75,0,0,0,0,0,1,0,0,1,0,0
61,1.0,1.0,1.0,6.0,12,0.0,5.0,3.0,0.0,1.0,3.0,63.99,5.0,0.324,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,6.0,11.0,6.0,3.25,0.0,61.91,2.0,3.5,1,1,0,0,0,0,0,0,1,0,0
62,0.0,1.0,2.0,3.0,12,1.0,0.0,3.0,0.0,1.0,4.0,61.19,5.0,0.324,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,1.0,25.0,5.0,2.5,1.0,61.6,2.0,3.0,0,1,0,0,0,0,0,0,1,0,1
63,1.0,2.0,2.0,2.0,11,3.0,4.0,2.0,0.0,1.0,3.0,58.33,5.0,1.584,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,2.0,18.0,4.0,3.5,1.0,55.84,1.0,3.25,0,0,0,1,0,0,0,0,1,0,1
64,1.0,1.0,3.0,3.0,9,2.0,4.0,4.0,1.0,1.0,4.0,57.62,5.0,0.934,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,1.0,27.0,4.0,2.75,1.0,55.18,1.0,2.25,0,0,0,0,0,1,0,0,1,0,0
65,0.0,1.0,1.0,2.0,3,0.0,0.0,2.0,0.0,1.0,4.0,57.87,5.0,0.997,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,1.0,14.0,6.0,3.75,1.0,53.53,1.0,3.75,1,0,0,0,0,1,0,0,1,0,1
66,0.0,1.0,1.0,6.0,12,0.0,2.0,3.0,1.0,1.0,4.0,50.26,5.0,0.069,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,1.0,22.0,5.0,1.75,0.0,53.45,2.0,1.75,1,1,0,0,0,0,0,0,1,0,0
67,1.0,2.0,3.0,6.0,12,2.0,5.0,3.0,0.0,1.0,4.0,48.25,5.0,0.324,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,2.0,30.0,4.0,3.0,1.0,48.51,2.0,3.25,1,0,1,0,0,0,0,0,1,0,0
68,0.0,1.0,2.0,6.0,8,1.0,0.0,3.0,0.0,1.0,4.0,56.43,5.0,1.607,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,1.0,19.0,5.0,3.75,1.0,54.59,1.0,3.5,1,1,0,0,0,0,0,0,1,0,1
69,0.0,2.0,1.0,2.0,10,0.0,5.0,4.0,0.0,1.0,5.0,65.05,5.0,0.324,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,0.0,30.0,6.0,3.75,1.0,51.97,1.0,3.25,1,1,0,0,0,0,0,0,1,0,1
70,0.0,5.0,2.0,6.0,9,0.0,8.0,3.0,0.0,0.0,5.0,55.62,5.0,0.069,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,0.0,25.0,5.0,3.25,1.0,46.96,1.0,3.0,0,1,0,0,0,0,0,0,1,0,0
71,1.0,1.0,3.0,2.0,8,1.0,4.0,1.0,0.0,0.0,5.0,68.69,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,60.92,2.0,4.0,0,0,0,0,0,1,0,0,1,0,1
72,1.0,1.0,3.0,3.0,9,1.0,4.0,3.0,0.0,1.0,4.0,56.24,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,30.0,6.0,3.75,1.0,59.74,1.0,3.5,1,0,0,0,0,1,0,0,1,0,0
73,1.0,1.0,3.0,4.0,10,0.0,1.0,4.0,0.0,1.0,5.0,65.56,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,33.0,6.0,4.0,1.0,64.16,1.0,4.0,1,0,0,0,0,1,0,0,1,0,0
74,1.0,9.0,3.0,3.0,9,2.0,1.0,3.0,0.0,1.0,4.0,47.35,5.0,1.189,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,3.5,1.0,56.16,2.0,3.75,1,0,0,0,0,1,0,0,1,0,1
75,1.0,1.0,3.0,4.0,10,2.0,0.0,1.0,0.0,1.0,3.0,49.45,5.0,0.324,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,29.0,5.0,2.75,1.0,45.39,1.0,3.25,1,0,0,0,0,1,0,0,1,0,0
76,1.0,1.0,3.0,6.0,10,2.0,3.0,4.0,0.0,1.0,4.0,64.58,5.0,0.324,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,34.0,6.0,4.0,1.0,62.98,2.0,4.0,1,0,0,0,0,1,0,0,1,0,1
77,1.0,1.0,3.0,3.0,11,0.0,2.0,3.0,0.0,0.0,4.0,56.89,5.0,1.862,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,28.0,6.0,2.75,1.0,61.65,1.0,3.0,1,0,0,0,0,1,0,0,1,0,1
78,1.0,1.0,3.0,4.0,11,2.0,0.0,4.0,0.0,1.0,4.0,61.19,5.0,0.68,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,3.75,1.0,61.73,2.0,4.0,1,0,0,0,0,1,0,0,1,0,0
79,1.0,1.0,3.0,6.0,10,0.0,0.0,3.0,0.0,1.0,4.0,60.18,5.0,0.997,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,34.0,6.0,3.0,1.0,57.68,2.0,3.25,1,0,0,0,0,1,0,0,1,0,0
80,1.0,1.0,1.0,2.0,9,1.0,4.0,4.0,1.0,0.0,4.0,53.32,5.0,0.069,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,2.75,1.0,60.9,1.0,2.75,0,0,0,0,1,0,0,0,1,0,0
81,1.0,9.0,3.0,2.0,3,2.0,2.0,2.0,0.0,1.0,4.0,48.39,5.0,2.094,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,23.0,4.0,2.5,1.0,52.07,1.0,3.0,1,0,0,0,0,1,0,0,1,0,1
82,1.0,1.0,3.0,7.0,10,2.0,0.0,3.0,1.0,1.0,4.0,48.6,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,0.0,44.65,1.0,2.25,0,0,0,0,0,1,0,0,1,0,0
83,1.0,1.0,3.0,6.0,10,0.0,3.0,3.0,0.0,1.0,4.0,61.61,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,32.0,6.0,3.25,1.0,67.38,1.0,3.5,1,0,0,0,0,1,0,0,1,0,1
84,1.0,2.0,3.0,7.0,11,1.0,5.0,4.0,0.0,0.0,5.0,63.7,5.0,0.579,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,2.25,1.0,64.35,1.0,2.75,0,0,0,0,0,1,0,0,1,0,0
85,1.0,1.0,3.0,8.0,11,2.0,2.0,4.0,0.0,1.0,4.0,72.09,5.0,1.607,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,30.0,6.0,3.75,1.0,74.83,2.0,3.75,0,0,0,0,0,1,0,0,1,0,0
86,1.0,2.0,2.0,5.0,10,2.0,3.0,3.0,0.0,1.0,4.0,57.33,5.0,0.324,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,3.5,1.0,58.63,2.0,3.5,0,0,0,1,0,0,0,0,1,0,1
87,1.0,1.0,3.0,5.0,10,0.0,0.0,2.0,0.0,0.0,4.0,61.31,5.0,0.069,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,27.0,5.0,3.25,1.0,63.99,1.0,2.75,0,0,0,0,0,1,0,0,1,0,0
88,1.0,2.0,3.0,5.0,11,0.0,2.0,2.0,1.0,1.0,5.0,65.92,5.0,1.607,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,3.5,1.0,71.35,2.0,3.5,0,0,0,0,0,1,0,0,1,0,0
89,1.0,1.0,2.0,3.0,9,1.0,1.0,4.0,0.0,1.0,5.0,64.31,5.0,0.324,3,1.0,0.0,84.0,11.0,4.0,1.0,0.0,4.0,37.0,6.0,4.0,1.0,65.42,2.0,4.0,1,0,0,0,0,1,0,0,1,0,0
90,1.0,1.0,3.0,6.0,10,2.0,8.0,3.0,1.0,1.0,3.0,50.72,5.0,0.579,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,26.0,4.0,2.25,1.0,53.36,1.0,2.5,1,0,0,0,0,1,0,0,1,0,1
91,0.0,1.0,2.0,6.0,10,2.0,4.0,3.0,0.0,1.0,4.0,48.63,5.0,0.324,1,1.0,0.0,94.0,3.0,1.0,0.0,0.0,0.0,30.0,5.0,3.25,1.0,55.45,1.0,3.25,1,1,0,0,0,0,0,0,1,0,1
92,1.0,5.0,3.0,6.0,10,2.0,0.0,3.0,0.0,1.0,2.0,53.35,5.0,0.324,1,1.0,0.0,94.0,3.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,58.27,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0
